"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00555",47,101,75,40,98,65
"gene-GALLO_RS00560",33,76,34,14,26,17
"gene-GALLO_RS00565",56,79,67,43,62,51
"gene-GALLO_RS00570",116,194,223,60,231,195
"gene-GALLO_RS00575",140,225,196,52,219,172
"gene-GALLO_RS00580",98,228,162,81,210,147
"gene-GALLO_RS00585",907,735,974,811,709,580
"gene-GALLO_RS00590",989,1110,841,679,1207,633
"gene-GALLO_RS00595",1225,1575,1252,969,1637,846
"gene-GALLO_RS00600",1533,1794,1621,1115,2157,1275
"gene-GALLO_RS00605",8421,7711,8333,7447,6294,4677
"gene-GALLO_RS00610",9485,9363,9826,7820,9850,6315
"gene-GALLO_RS00615",47907,34425,37342,38597,48249,34787
"gene-GALLO_RS00620",48955,29087,39008,37227,45985,36318
"gene-GALLO_RS00625",763,529,249,535,444,142
"gene-GALLO_RS00630",11,10,11,6,8,2
"gene-GALLO_RS00635",11,11,14,2,8,0
"gene-GALLO_RS00640",0,0,2,0,0,1
"gene-GALLO_RS00645",3,1,1,4,4,1
"gene-GALLO_RS00650",0,2,0,0,0,2
"gene-GALLO_RS00655",2,6,2,3,4,2
"gene-GALLO_RS00660",4,9,2,0,4,3
"gene-GALLO_RS00665",1273,937,1079,1109,845,736
"gene-GALLO_RS00670",3214,4862,3508,2838,4033,5495
"gene-GALLO_RS00675",62,71,71,40,66,51
"gene-GALLO_RS00680",113,74,74,70,86,47
"gene-GALLO_RS00685",153,108,91,60,132,81
"gene-GALLO_RS00690",163,168,139,102,152,120
"gene-GALLO_RS00695",3501,3726,3050,3196,4026,2133
"gene-GALLO_RS00700",5159,5038,4489,4836,5141,2815
"gene-GALLO_RS11650",251,250,379,166,196,146
"gene-GALLO_RS00705",775,803,922,604,729,551
"gene-GALLO_RS00710",2729,3084,3139,2582,3292,2107
"gene-GALLO_RS00720",4,11,9,6,7,2
"gene-GALLO_RS00725",215,636,322,134,277,162
"gene-GALLO_RS00730",28,122,80,16,57,30
"gene-GALLO_RS00735",51,71,66,36,57,27
"gene-GALLO_RS00740",69,39,56,54,69,240
"gene-GALLO_RS00745",508,390,344,469,419,413
"gene-GALLO_RS00750",507,379,376,393,458,471
"gene-GALLO_RS00755",297,243,260,316,385,300
"gene-GALLO_RS00760",746,647,711,653,761,762
"gene-GALLO_RS00765",65,1462,40,39,1413,5627
"gene-GALLO_RS00770",71,416,40,79,568,4291
"gene-GALLO_RS00775",131,202,68,117,299,3660
"gene-GALLO_RS00780",126,203,76,81,242,2343
"gene-GALLO_RS00785",34,50,26,28,59,558
"gene-GALLO_RS00790",4273,4492,4559,3596,7169,4957
"gene-GALLO_RS00795",1298,1620,1706,1030,2550,1782
"gene-GALLO_RS00800",582,678,379,451,687,209
"gene-GALLO_RS00805",3802,5014,2512,2775,4654,1432
"gene-GALLO_RS00810",577,410,503,565,369,318
"gene-GALLO_RS00815",2080,2225,2180,1633,1888,1232
"gene-GALLO_RS00820",1064,1268,1035,906,1244,707
"gene-GALLO_RS00825",1324,1834,1249,1267,1337,923
"gene-GALLO_RS00830",4580,4719,5250,4224,4163,2741
"gene-GALLO_RS11660",1482,1775,1557,884,1410,916
"gene-GALLO_RS00835",619,857,749,272,615,383
"gene-GALLO_RS00840",1116,1320,1557,1105,1124,1271
"gene-GALLO_RS00845",250,242,221,214,278,167
"gene-GALLO_RS00850",633,603,638,648,633,405
"gene-GALLO_RS00855",23233,25639,20937,20452,27371,14909
"gene-GALLO_RS00860",163,456,201,143,590,350
"gene-GALLO_RS00865",4065,4270,2250,2631,3469,1474
"gene-GALLO_RS00870",477,438,635,583,331,314
"gene-GALLO_RS00875",912,1673,683,655,1457,502
"gene-GALLO_RS00880",33,54,43,9,31,27
"gene-GALLO_RS11665",3762,7800,7280,1351,3389,3044
"gene-GALLO_RS00885",1785,1774,1621,1586,1739,936
"gene-GALLO_RS00890",988,925,831,1021,809,466
"gene-GALLO_RS00895",868,688,653,677,611,413
"gene-GALLO_RS00900",1113,883,874,889,815,538
"gene-GALLO_RS00905",1191,1109,1234,860,1024,640
"gene-GALLO_RS00910",504,518,722,284,400,322
"gene-GALLO_RS00915",312,324,347,304,288,386
"gene-GALLO_RS00920",1192,15649,1202,999,16154,65516
"gene-GALLO_RS00925",262,342,297,242,474,8907
"gene-GALLO_RS00930",8928,5060,3896,6173,7714,2968
"gene-GALLO_RS00935",6088,2269,1267,4093,4018,1138
"gene-GALLO_RS00940",175,101,119,171,108,142
"gene-GALLO_RS00945",101,62,65,76,56,62
"gene-GALLO_RS00950",391,335,322,329,314,347
"gene-GALLO_RS00955",169,207,120,134,231,386
"gene-GALLO_RS00960",6940,6120,6086,6640,5258,6184
"gene-GALLO_RS00965",3272,2872,3252,2763,2954,3360
"gene-GALLO_RS00970",146,123,152,100,157,127
"gene-GALLO_RS00975",551,360,552,473,612,461
"gene-GALLO_RS00980",760,512,771,535,771,564
"gene-GALLO_RS00985",116,93,92,111,105,149
"gene-GALLO_RS00990",18,13,9,19,17,13
"gene-GALLO_RS00995",7,3,8,4,7,0
