,name,taxon_id,short_name,long_name
130,ustilago,237631,ustma,ustilago maydis
131,cholera,243277,vibch,vibrio cholerae
132,grape,29760,vitvi,vitis vinifera
133,xanthomonas,190485,xancp,xanthomonas campestris
134,frog,8364,xentr,xenopus tropicalis
135,yarrowia,284591,yarli,yarrowia lipolytica
136,yersinia,632,yerpe,yersinia pestis
137,maize,4577,maize,zea mays
138,eelgrass,29655,zosmr,zostera marina
139,helobdella,6412,helro,helobdella robusta
140,lepisosteudae,7918,lepoc,lepisosteus oculatus
141,m_genitalium,243273,mycge,mycoplasma genitalium
